features__id,features__geometry__coordinates__001,features__geometry__coordinates__002,features__properties__name,features__properties__kinds
7045154,73.8456268,18.5316372,Sawai Gandharva Smarak,"cultural,museums,interesting_places,other_museums"
1880330,73.841629,18.5268192,Jnaneshwar Paduka Mandir,"religion,hindu_temples,interesting_places"
11474381,73.8719177,18.5268345,BJ Medical College,"architecture,historic_architecture,interesting_places,other_buildings_and_structures"
1880160,73.8424606,18.5120583,Nanasaheb Peshwe Samadhi,"historic,monuments_and_memorials,interesting_places,monuments"
5102360,73.8624573,18.5053062,Makkah Masjid,"religion,other_temples,interesting_places"
5102367,73.8720627,18.527235,Station Masjid,"religion,other_temples,interesting_places"
5686919,73.8533554,18.5046177,Adambag Masjid,"religion,mosques,interesting_places"
4982514,73.8733521,18.5236454,Susie Sorabjee Auditorium,"cultural,theatres_and_entertainments,interesting_places,other_theatres"
1880189,73.8426895,18.5112648,Visava Maruti Mandir,"religion,hindu_temples,interesting_places"
11633153,73.8484879,18.5061455,Sir Parshurambhau College,"architecture,historic_architecture,interesting_places,other_buildings_and_structures"
7980497,73.8720551,18.5280266,,"religion,hindu_temples,interesting_places"
1880215,73.8409424,18.513052,Savarkar Memorial,"historic,monuments_and_memorials,interesting_places,monuments"
5102359,73.8638306,18.5050812,Mominpura Kabrastan Masjid,"religion,other_temples,interesting_places"
11381989,73.874588,18.5193558,Ohel David Synagogue,"religion,synagogues,interesting_places"
5686897,73.861084,18.5038929,Saint Teresa's Church,"religion,other_temples,interesting_places"
4982511,73.8386154,18.5233612,Amphitheatre,"cultural,theatres_and_entertainments,interesting_places,other_theatres"
11202498,73.8385925,18.5241489,Fergussson College,"architecture,historic_architecture,interesting_places,other_buildings_and_structures"
1880187,73.841713,18.5098286,Thosar Paga,"cemeteries,historic,burial_places,interesting_places"
4982513,73.8758774,18.5198402,Nehru Memorial Hall,"cultural,theatres_and_entertainments,interesting_places,other_theatres"
7082314,73.8504257,18.5029545,Nilayam,"cultural,cinemas,theatres_and_entertainments,interesting_places"
15379638,73.8758926,18.524147,Darshan Museum,"museums,cultural,interesting_places,other_museums"
11289895,73.8369217,18.5202618,Gokhale Institute of Politics and Economics,"architecture,historic_architecture,interesting_places,other_buildings_and_structures"
1880421,73.8744125,18.5288773,Pune Junction,"railway_stations,industrial_facilities,interesting_places"
5011412,73.8542023,18.5016193,Lokashahir Annabhau Sathe,"historic,monuments_and_memorials,cultural,urban_environment,interesting_places,sculptures,monuments"
4982507,73.85672,18.5014381,Ganesh Kala Krida Rangamanch,"cultural,theatres_and_entertainments,interesting_places,other_theatres"
1880258,73.8533478,18.5017033,,"historic,monuments_and_memorials,interesting_places,monuments"
1880201,73.8369598,18.5163174,Balbhim Mandir,"religion,hindu_temples,interesting_places"
1880257,73.8541718,18.5013638,Jamnalal Bajaj,"historic,monuments_and_memorials,cultural,urban_environment,interesting_places,sculptures,monuments"
1880065,73.8530121,18.5009041,,"religion,other_temples,interesting_places"
5686951,73.8761063,18.5130367,St.Xavier's Church,"religion,churches,interesting_places,other_churches"
1880063,73.852951,18.5008812,Talyatala Ganapati,"religion,hindu_temples,interesting_places"
5102356,73.8542557,18.5003128,Mahalakshmi temple,"religion,other_temples,interesting_places"
11319015,73.8529053,18.500494,Sarasbaug,"urban_environment,gardens_and_parks,cultural,interesting_places"
