,features__id,features__geometry__coordinates__001,features__geometry__coordinates__002,features__properties__name,features__properties__kinds
138,4982507,73.85672,18.5014381,Ganesh Kala Krida Rangamanch,"cultural,theatres_and_entertainments,interesting_places,other_theatres"
140,1880201,73.8369598,18.5163174,Balbhim Mandir,"religion,hindu_temples,interesting_places"
141,1880257,73.8541718,18.5013638,Jamnalal Bajaj,"historic,monuments_and_memorials,cultural,urban_environment,interesting_places,sculptures,monuments"
143,5686951,73.8761063,18.5130367,St.Xavier's Church,"religion,churches,interesting_places,other_churches"
144,1880063,73.852951,18.5008812,Talyatala Ganapati,"religion,hindu_temples,interesting_places"
145,5102356,73.8542557,18.5003128,Mahalakshmi temple,"religion,other_temples,interesting_places"
146,11319015,73.8529053,18.500494,Sarasbaug,"urban_environment,gardens_and_parks,cultural,interesting_places"
147,11659327,73.8353653,18.5209255,Brihan Maharashtra College of Commerce,"architecture,historic_architecture,interesting_places,other_buildings_and_structures"
148,7082319,73.8779602,18.5185318,West End,"cultural,cinemas,theatres_and_entertainments,interesting_places"
150,1880199,73.8353653,18.5172577,HAL Marut,"other,unclassified_objects,interesting_places,historic_object"
152,7087224,73.8766251,18.5286922,Alankar Cinema,"cultural,cinemas,theatres_and_entertainments,interesting_places"
153,5686947,73.8763275,18.5114346,Hazrat Babajaan Dargah,"religion,other_temples,interesting_places"
154,4990802,73.877861,18.526844,Inox,"cultural,cinemas,theatres_and_entertainments,interesting_places"
155,7726859,73.8344879,18.5230408,Vasupujya Jinalaya Jain Temple,"religion,other_temples,interesting_places"
156,1880200,73.8346405,18.5163994,Shri Gurudev Datt Mandir,"religion,hindu_temples,interesting_places"
157,1880111,73.853096,18.4993114,Shri Kanchi shankar math,"religion,other_temples,interesting_places"
158,7356482,73.8792191,18.5184422,Dr. Babasaheb Ambedkar,"historic,monuments_and_memorials,cultural,urban_environment,interesting_places,sculptures,monuments"
159,1880110,73.8527603,18.4992752,Swami samarth seva kendra,"religion,other_temples,interesting_places"
160,1880109,73.8520966,18.4993134,Vedacharya Phatak Guruji,"historic,monuments_and_memorials,cultural,urban_environment,interesting_places,sculptures,monuments"
161,5686955,73.8794785,18.5200119,ISKCON Temple,"religion,hindu_temples,interesting_places"
162,7082318,73.8794785,18.5145473,Victory Cinema,"cultural,cinemas,theatres_and_entertainments,interesting_places"
163,7672474,73.8790436,18.5129738,Burhani Masjid,"religion,other_temples,interesting_places"
164,7977941,73.8331833,18.524971,Hanuman Mandir,"religion,hindu_temples,interesting_places"
165,1880347,73.8379974,18.535614,Hutatma Chaphekar Bandhu Memorial,"historic,monuments_and_memorials,interesting_places,monuments"
166,7112750,73.8590775,18.4971256,Atul electroformers,"cultural,urban_environment,interesting_places,installation"
167,1880166,73.8386307,18.504467,Bal Shivaji Mitra Mandal,"religion,hindu_temples,interesting_places"
168,9958520,73.8592224,18.4971199,Kubera Estate,"other,unclassified_objects,interesting_places,tourist_object"
169,7985101,73.8761063,18.535141,Tarun Vikas Mandal,"religion,hindu_temples,interesting_places"
170,7087222,73.8690567,18.4993534,Apsara Talkies,"cultural,cinemas,theatres_and_entertainments,interesting_places"
171,4990798,73.8575821,18.4961071,Laxminarayan Talkies,"cultural,cinemas,theatres_and_entertainments,interesting_places"
173,1880314,73.8343658,18.5326996,Pramod Mahale,"historic,monuments_and_memorials,interesting_places,monuments"
174,11813672,73.8470917,18.4975605,Parvati,"view_points,other,religion,hindu_temples,interesting_places,banks,bank,tourist_facilities"
175,5686882,73.8471069,18.4975433,Parvati Temple,"religion,hindu_temples,interesting_places"
176,7045147,73.8468323,18.4972668,Parvati Museum,"cultural,museums,interesting_places,other_museums"
177,15385780,73.8466644,18.4972229,Parvati Hill,"mountain_peaks,interesting_places,natural,geological_formations"
178,4959610,73.8299942,18.5242653,Dr. Babasaheb Ambedkar Museum,"cultural,museums,interesting_places,other_museums"
179,1880067,73.8390656,18.5007324,Shri Vitthal Rukmini Mandir Dattawadi,"religion,hindu_temples,interesting_places"
180,1879183,73.8292618,18.5192833,Bhandarkar Oriental Research Institute,"architecture,historic_architecture,interesting_places,other_buildings_and_structures"
182,15611823,73.8294449,18.5156403,National Film Archive of India,"museums,cultural,interesting_places,other_museums"
183,5102357,73.8321457,18.5081024,Saint Crispin's Church,"religion,other_temples,interesting_places"
184,9958522,73.8329468,18.5064144,Amruteshwar Mandir,"religion,hindu_temples,interesting_places"
185,7082317,73.8355713,18.5378513,E-Square Multiplex,"cultural,cinemas,theatres_and_entertainments,interesting_places"
186,1880420,73.8841324,18.5283222,General Arunkumar Vaidya,"historic,monuments_and_memorials,interesting_places,monuments"
188,5011414,73.8853607,18.5283833,Seafarers Memorial,"historic,monuments_and_memorials,interesting_places,monuments"
189,15784820,73.8855591,18.5126877,Gurdwara Guru Nanak Darbar Camp Pune I,"religion,other_temples,interesting_places"
190,1880391,73.885788,18.5125999,Gurudwara,"religion,other_temples,interesting_places"
191,7978453,73.8502121,18.4923439,Shri Gajanan Maharaj Mandir,"religion,hindu_temples,interesting_places"
192,1879487,73.8272934,18.5131702,Wisdom Tree (FTII),"religion,other_temples,interesting_places"
193,5686949,73.8843689,18.5077496,Saint Mary's Church,"religion,churches,interesting_places,other_churches"
194,7978452,73.8500443,18.4918499,Ganesh Mandir,"religion,hindu_temples,interesting_places"
195,7082320,73.8875656,18.5193768,Liberty Cinema,"cultural,cinemas,theatres_and_entertainments,interesting_places"
197,5102371,73.8782425,18.5436993,Sadal Baba,"religion,other_temples,interesting_places"
198,7299651,73.8896561,18.5230751,National War Memorial Southern Command,"historic,monuments_and_memorials,interesting_places,monuments"
199,11263556,73.8567505,18.5518703,Kirkee War Cemetery,"cemeteries,historic,monuments_and_memorials,burial_places,interesting_places,war_graves,monuments"
200,16244529,73.8569565,18.5519199,Kirkee Memorial,"historic,burial_places,interesting_places,war_memorials"
201,7082311,73.8579102,18.4886951,City Pride Multiplex,"cultural,cinemas,theatres_and_entertainments,interesting_places"
202,11471113,73.8258514,18.5057983,Dashabhuja Mandir,"religion,hindu_temples,interesting_places"
204,1880090,73.8460617,18.4891338,Dashabhuja Ganapati,"religion,hindu_temples,interesting_places"
205,5102372,73.8867493,18.5372391,Buddha-Hall,"religion,other_temples,interesting_places"
206,5167797,73.8254623,18.5056057,Bal Tarun Mandal,"religion,hindu_temples,interesting_places"
207,11381988,73.8276901,18.5389194,Chaturshrungi Mandir,"religion,hindu_temples,interesting_places"
208,11679344,73.8369141,18.4926891,Pu La Deshpande Udyan,"urban_environment,gardens_and_parks,cultural,interesting_places"
209,1880093,73.8354034,18.4936333,Navshya Maruti,"religion,hindu_temples,interesting_places"
210,7672475,73.8886032,18.5369167,Osho Ashram,"religion,other_temples,interesting_places"
212,1880531,73.8820724,18.5458145,Tarkeshwar Shiva Temple,"religion,hindu_temples,interesting_places"
213,1880102,73.8526306,18.4855785,Aranyeshwar Temple,"religion,hindu_temples,interesting_places"
214,4942900,73.882164,18.5462742,Tarkeshwar Mandir Hill,"natural,interesting_places,nature_reserves,other_nature_conservation_areas"
215,1879362,73.8265457,18.498354,Datta Mandir,"religion,other_temples,interesting_places"
216,5102346,73.8211517,18.5061646,Jain Temple,"religion,other_temples,interesting_places"
217,4982512,73.8907623,18.5022526,Dhanwantari Auditorium,"cultural,theatres_and_entertainments,interesting_places,other_theatres"
218,9958493,73.8177338,18.5240479,Hanuman Mandir,"religion,hindu_temples,interesting_places"
219,11222870,73.8222885,18.5013638,Joshi's Museum of Miniature Railways,"cultural,museums,interesting_places,museums_of_science_and_technology,other_technology_museums"
220,1880521,73.8547058,18.5582809,Church,"religion,other_temples,interesting_places"
221,1879478,73.8174667,18.5115089,Bedekar Ganapati Mandir,"religion,hindu_temples,interesting_places"
222,5165269,73.8204803,18.5034504,Maruti Mandir,"religion,hindu_temples,interesting_places"
224,15841658,73.8272858,18.4933681,"Tathawade Garden, Pune","gardens_and_parks,cultural,urban_environment,interesting_places"
225,1879355,73.8258209,18.4944305,Ramambika Devi Mandir,"religion,hindu_temples,interesting_places"
226,11673298,73.8154449,18.525486,Vetal Tekdi,"mountain_peaks,geological_formations,natural,interesting_places"
227,6189253,73.8232117,18.4967098,Ganesh Temple,"religion,hindu_temples,interesting_places"
228,7082303,73.8209457,18.4997425,City Pride Kothrud,"cultural,cinemas,theatres_and_entertainments,interesting_places"
229,7087226,73.8882599,18.546566,Gunjan Talkies,"cultural,cinemas,theatres_and_entertainments,interesting_places"
230,11586879,73.8980942,18.5130577,Empress Botanical Garden,"urban_environment,gardens_and_parks,cultural,interesting_places"
231,1880530,73.8836746,18.5513744,Noorani Masjid,"religion,other_temples,interesting_places"
232,15599923,73.8979263,18.5088253,Roman Catholic Diocese of Poona,"religion,other_temples,interesting_places"
233,5686751,73.8171234,18.5042419,Auditorium,"cultural,theatres_and_entertainments,interesting_places,other_theatres"
234,1879448,73.8180313,18.5023403,Mrutyunjayeshwar Mandir,"religion,hindu_temples,interesting_places"
235,1880401,73.8981628,18.5087662,ST PATRICKS CATHEDRAL,"religion,cathedrals,interesting_places"
236,5686956,73.8981705,18.5087585,Saint Patrick's Church,"religion,churches,interesting_places,other_churches"
237,1880402,73.8982162,18.5088406,St. Patrick's Cathedral,"religion,cathedrals,interesting_places"
238,5102374,73.8402634,18.5590286,Kali matha temple,"religion,other_temples,interesting_places"
239,1879331,73.8264389,18.4899139,Hanuman Mandir,"religion,hindu_temples,interesting_places"
240,1879479,73.8130875,18.5132046,Bhavani mandir,"religion,hindu_temples,interesting_places"
241,7979931,73.8987732,18.5069599,Bhairavnath Mandir,"religion,hindu_temples,interesting_places"
242,7045146,73.8236542,18.491991,Yash Laxmi Numismatic Museum,"cultural,museums,interesting_places,other_museums"
243,1880409,73.901062,18.5117912,Dr Ashok Sharaf Open Hardware,"other,unclassified_objects,interesting_places,tourist_object"
244,1880088,73.8547668,18.4773159,Padmavati Mandir,"religion,hindu_temples,interesting_places"
246,1880538,73.8757782,18.5599098,Sangam World Centre,"other,unclassified_objects,interesting_places,tourist_object"
247,7359311,73.815094,18.5020123,Maharshi Dhondo Keshav Karve,"historic,monuments_and_memorials,cultural,urban_environment,interesting_places,sculptures,monuments"
248,1880513,73.8386993,18.5608463,Ayappa temple,"religion,other_temples,interesting_places"
249,15832604,73.8246231,18.5523396,Savitribai Phule Pune University,"historic_architecture,architecture,interesting_places,other_buildings_and_structures"
250,4990801,73.9014053,18.5062656,Fame,"cultural,cinemas,theatres_and_entertainments,interesting_places"
252,1879674,73.8257904,18.554245,Pune university honorable vice chancelor residential qarter,"historic,monuments_and_memorials,interesting_places,monuments"
254,7066639,73.8137894,18.5014935,Sujit Aquariums,"cultural,aquariums,museums,interesting_places"
255,1879423,73.8134766,18.5021248,Chhatrapati Shivaji Maharaj,"historic,monuments_and_memorials,interesting_places,monuments"
